name,ip
AdGuard,94.140.15.15
CleanBrowsing,185.228.169.168
Cloudflare,1.0.0.1
Google Public,8.8.4.4
OpenDNS,208.67.220.220
OpenNIC,172.233.66.93
Quad9,149.112.112.112
Yandex,77.88.8.8
Quad101_Twnic,101.102.103.104
Alibaba_Cloud,223.6.6.6
Tencent,119.29.29.29
114DNS,114.114.115.115
HomeplusDigital,203.133.1.7
ChunghwaTelecom,168.95.192.1
NextDNS-Lazy,45.90.30.168
NextDNS-Diligent,45.90.30.227
